Code,Trouble Code System,Condition Description,Full_Description,Possible_Causes,Diagnostic_Aids,Application,Context_For_RAG
P0010,Powertrain,Intake Camshaft Position Actuator Circuit/Open (Bank 1),"The powertrain control module (PCM) monitors the variable camshaft timing (VCT) circuit
to the PCM for high and low voltage. The test fails if the voltage exceeds or falls below a
calibrated limit for a calibrated amount of time.
Possible (cid:1) Open or short in the VCT circuit
Causes: (cid:1) Open VPWR circuit
(cid:1) Open or short in the VCT solenoid valve
Diagnostic This DTC is a circuit check. Testing should include the harness and solenoid coil.
Aids:",N/A,N/A,,"DTC Code: P0010
Title: Intake Camshaft Position Actuator Circuit/Open (Bank 1)
System Description: The powertrain control module (PCM) monitors the variable camshaft timing (VCT) circuit
to the PCM for high and low voltage. The test fails if the voltage exceeds or falls below a
calibrated limit for a calibrated amount of time.
Possible (cid:1) Open or short in the VCT circuit
Causes: (cid:1) Open VPWR circuit
(cid:1) Open or short in the VCT solenoid valve
Diagnostic This DTC is a circuit check. Testing should include the harness and solenoid coil.
Aids:
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P0011,Powertrain,Intake Camshaft Position Timing - Over-Advanced (Bank 1),"The powertrain control module (PCM) monitors the variable camshaft timing (VCT) position
for an over-advanced camshaft timing. The test fails when the camshaft timing exceeds a
maximum calibrated value or remains in an advanced position.
Possible (cid:1) Camshaft timing improperly set
Causes: (cid:1) Continuous oil flow to the VCT piston chamber
(cid:1) VCT solenoid valve stuck open
(cid:1) Camshaft advance mechanism binding (VCT unit)
Diagnostic This DTC is a functional check of the VCT unit. Diagnose any base engine concerns
Aids: related to the engine oil pressure or engine timing. Refer to the Workshop Manual Section
303-00, Engine System.",N/A,N/A,,"DTC Code: P0011
Title: Intake Camshaft Position Timing - Over-Advanced (Bank 1)
System Description: The powertrain control module (PCM) monitors the variable camshaft timing (VCT) position
for an over-advanced camshaft timing. The test fails when the camshaft timing exceeds a
maximum calibrated value or remains in an advanced position.
Possible (cid:1) Camshaft timing improperly set
Causes: (cid:1) Continuous oil flow to the VCT piston chamber
(cid:1) VCT solenoid valve stuck open
(cid:1) Camshaft advance mechanism binding (VCT unit)
Diagnostic This DTC is a functional check of the VCT unit. Diagnose any base engine concerns
Aids: related to the engine oil pressure or engine timing. Refer to the Workshop Manual Section
303-00, Engine System.
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P0012,Powertrain,Intake Camshaft Position Timing - Over-Retarded (Bank 1),"The powertrain control module (PCM) monitors the variable camshaft timing (VCT) position
for over-retarded camshaft timing. The test fails when the camshaft timing exceeds a
maximum calibrated value or remains in a retarded position.
Possible (cid:1) Camshaft timing improperly set
Causes: (cid:1) Continuous oil flow to the VCT piston chamber
(cid:1) VCT solenoid valve stuck open
(cid:1) Camshaft advance mechanism binding (VCT unit)
Diagnostic This DTC is a functional check of the VCT unit. Diagnose any base engine concerns
Aids: related to the engine oil pressure or engine timing. Refer to the Workshop Manual Section
303-00, Engine System.",N/A,N/A,,"DTC Code: P0012
Title: Intake Camshaft Position Timing - Over-Retarded (Bank 1)
System Description: The powertrain control module (PCM) monitors the variable camshaft timing (VCT) position
for over-retarded camshaft timing. The test fails when the camshaft timing exceeds a
maximum calibrated value or remains in a retarded position.
Possible (cid:1) Camshaft timing improperly set
Causes: (cid:1) Continuous oil flow to the VCT piston chamber
(cid:1) VCT solenoid valve stuck open
(cid:1) Camshaft advance mechanism binding (VCT unit)
Diagnostic This DTC is a functional check of the VCT unit. Diagnose any base engine concerns
Aids: related to the engine oil pressure or engine timing. Refer to the Workshop Manual Section
303-00, Engine System.
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P0016,Powertrain,Crankshaft Position - Camshaft Position Correlation - Bank 1 Sensor A,"The powertrain control module (PCM) monitors the variable camshaft timing (VCT)
position for a misalignment between the camshaft and crankshaft. The test fails when the
misalignment is greater than 1 tooth.
Possible (cid:1) Worn timing chain tensioner
Causes: (cid:1) Worn timing chain tensioner arm
(cid:1) Loose timing chain
Diagnostic Check or adjust the timing.
Aids:",N/A,N/A,,"DTC Code: P0016
Title: Crankshaft Position - Camshaft Position Correlation - Bank 1 Sensor A
System Description: The powertrain control module (PCM) monitors the variable camshaft timing (VCT)
position for a misalignment between the camshaft and crankshaft. The test fails when the
misalignment is greater than 1 tooth.
Possible (cid:1) Worn timing chain tensioner
Causes: (cid:1) Worn timing chain tensioner arm
(cid:1) Loose timing chain
Diagnostic Check or adjust the timing.
Aids:
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P0018,Powertrain,Crankshaft Position - Camshaft Position Correlation - Bank 2 Sensor A,See the description for DTC P0016.,See the possible causes for DTC P0016.,See the diagnostic aids for DTC P0016.,,"DTC Code: P0018
Title: Crankshaft Position - Camshaft Position Correlation - Bank 2 Sensor A
System Description: See the description for DTC P0016.
Possible Causes: See the possible causes for DTC P0016.
Diagnostic Steps/Aids: See the diagnostic aids for DTC P0016.
Vehicle Application: "
P0020,Powertrain,Intake Camshaft Position Actuator Circuit/Open (Bank 2),See the description for DTC P0010.,See the possible causes for DTC P0010.,See the diagnostic aids for DTC P0010.,,"DTC Code: P0020
Title: Intake Camshaft Position Actuator Circuit/Open (Bank 2)
System Description: See the description for DTC P0010.
Possible Causes: See the possible causes for DTC P0010.
Diagnostic Steps/Aids: See the diagnostic aids for DTC P0010.
Vehicle Application: "
P0021,Powertrain,Intake Camshaft Position Timing - Over-Advanced (Bank 2),See the description for DTC P0011.,See the possible causes for DTC P0011.,See the diagnostic aids for DTC P0011.,,"DTC Code: P0021
Title: Intake Camshaft Position Timing - Over-Advanced (Bank 2)
System Description: See the description for DTC P0011.
Possible Causes: See the possible causes for DTC P0011.
Diagnostic Steps/Aids: See the diagnostic aids for DTC P0011.
Vehicle Application: "
P0022,Powertrain,Intake Camshaft Position Timing - Over-Retarded (Bank 2),See the description for DTC P0012.,See the possible causes for DTC P0012.,See the diagnostic aids for DTC P0012.,,"DTC Code: P0022
Title: Intake Camshaft Position Timing - Over-Retarded (Bank 2)
System Description: See the description for DTC P0012.
Possible Causes: See the possible causes for DTC P0012.
Diagnostic Steps/Aids: See the diagnostic aids for DTC P0012.
Vehicle Application: "
P0040,Powertrain,Oxygen Sensor Signals Swapped Bank 1 Sensor 1/Bank 2 Sensor 1,"The heated oxygen sensor (HO2S) monitor determines if the HO2S signal response for a
fuel shift corresponds to the correct engine bank. The test fails when there is no response
from the HO2S being tested.
Possible (cid:1) Crossed HO2S harness connectors
Causes: (cid:1) Crossed HO2S wiring at the harness connectors
(cid:1) Crossed HO2S wiring at the PCM connectors
Diagnostic Connect the HO2S connector to the correct bank.
Aids:",N/A,N/A,,"DTC Code: P0040
Title: Oxygen Sensor Signals Swapped Bank 1 Sensor 1/Bank 2 Sensor 1
System Description: The heated oxygen sensor (HO2S) monitor determines if the HO2S signal response for a
fuel shift corresponds to the correct engine bank. The test fails when there is no response
from the HO2S being tested.
Possible (cid:1) Crossed HO2S harness connectors
Causes: (cid:1) Crossed HO2S wiring at the harness connectors
(cid:1) Crossed HO2S wiring at the PCM connectors
Diagnostic Connect the HO2S connector to the correct bank.
Aids:
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P0041,Powertrain,Oxygen Sensor Signals Swapped Bank 1 Sensor 2/Bank 2 Sensor 2,"The heated oxygen sensor (HO2S) monitor determines if the HO2S signal response for a
fuel shift corresponds to the correct engine bank. The test fails when there is no response
from the HO2S being tested.
Possible (cid:1) Crossed HO2S harness connectors
Causes: (cid:1) Crossed HO2S wiring at the harness connectors
(cid:1) Crossed HO2S wiring at the PCM connectors
Diagnostic Connect the HO2S connector to the correct bank.
Aids:",N/A,N/A,,"DTC Code: P0041
Title: Oxygen Sensor Signals Swapped Bank 1 Sensor 2/Bank 2 Sensor 2
System Description: The heated oxygen sensor (HO2S) monitor determines if the HO2S signal response for a
fuel shift corresponds to the correct engine bank. The test fails when there is no response
from the HO2S being tested.
Possible (cid:1) Crossed HO2S harness connectors
Causes: (cid:1) Crossed HO2S wiring at the harness connectors
(cid:1) Crossed HO2S wiring at the PCM connectors
Diagnostic Connect the HO2S connector to the correct bank.
Aids:
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
