CAR_MODEL,YEAR,ENGINE_RPM,VEHICLE_SPEED,ENGINE_LOAD,COOLANT_TEMP,MAF_GRAMS_SEC,SHORT_TERM_TRIM,LONG_TERM_TRIM,THROTTLE_POS,TROUBLE_CODES
Tata Safari,2021,2927.2,116,29.2,121.5,52.8,-1.92,1.91,19.7,P0117
Jeep Compass,2017,2054.6,74.9,34.2,93.9,36.9,-1.18,-1.82,22.5,None
Volkswagen Taigun,2015,1518.2,42,89,96,26.95,-1.34,-0.44,31,P2463
Renault Kiger,2017,1843.4,42,88.7,91.3,33.27,-1.79,1.92,21.1,P2463
Tata Harrier,2020,1302.7,49.7,75.2,93.9,24.7,0,0.37,28.2,P0300
Maruti Suzuki Baleno,2017,2975.4,116.4,42.8,126.2,53.68,1.16,0.6,27.3,P0117
Toyota Glanza,2024,2681.8,100.2,53.5,114.2,48.76,0.24,0.57,31.7,P0117
Mahindra XUV300,2018,1440.7,54.9,36.9,95.6,25.88,-1.54,1.37,24,None
Hyundai Tucson,2018,1972.4,61.6,82.2,94.5,31.56,2.97,1.5,31.3,P0300
Hyundai Creta,2018,2778.4,111.9,20.6,90.7,11.21,1.87,0.41,18.8,P0101
Honda City,2015,2850.3,106,52.3,126.9,51.77,-1.81,0.37,31,P0117
Hyundai i20,2018,1332.6,43.9,17,128.3,24.25,-1.25,1.9,16.2,P0117
Volkswagen Taigun,2016,1590.8,53.5,16,90.3,28.74,0.58,-0.03,16.2,None
Volkswagen Taigun,2023,3238.7,127.3,65.8,88.4,57.96,-7.96,0.97,27.1,P0300
Maruti Suzuki Ertiga,2016,760.6,31.2,50.2,90.9,13.82,20.96,21.62,29.4,P0171
Renault Kiger,2022,2170.1,96,62.8,91.9,42.52,2.33,0.13,19.4,P0300
Tata Nexon,2019,2100,42,91,88.9,50.6,1.31,-1.28,19.3,P2463
Ford Endeavour,2018,2615.5,92.7,20.2,112.8,47.28,-1.86,-1.61,15.3,P0117
Tata Nexon,2023,879.7,26,47.8,93.5,3.55,0.42,1.29,27.4,P0101
Tata Altroz,2019,3252.7,119.7,52.1,94.2,58.07,15.57,18.55,33.1,P0171
Maruti Suzuki Alto,2022,1835.5,74.3,47.7,95.3,7.26,-0.62,-1.94,30.8,P0101
Maruti Suzuki Ertiga,2018,2100,42,80.7,91.7,47.35,0.55,-0.01,17.3,P2463
Toyota Glanza,2021,2028.3,71.8,53.8,121.5,36.72,-0.47,1.75,32.9,P0117
Toyota Innova Hycross,2019,3268.9,123.7,22.3,121.8,58.7,1.52,-1.49,16.3,P0117
Maruti Suzuki Dzire,2023,2809,105.6,48.6,95.5,11.2,-0.09,-0.74,27.2,P0101
Hyundai Venue,2024,2959.7,108.6,49.8,117.7,53.29,-0.35,-0.06,28.4,P0117
Hyundai Tucson,2017,2331.8,95.6,34.8,92,41.59,21.74,12.52,21.2,P0171
Volkswagen Virtus,2018,1676.7,62.4,41.3,93.5,6.76,-0.8,-0.75,27.5,P0101
MG Hector,2019,2863.6,103.5,31.2,91.7,11.45,0.23,1.32,22.7,P0101
Honda City,2021,1941,77.8,37.3,88.6,34.45,20.91,16.57,26.9,P0171
Hyundai Verna,2016,3144,120.7,35.1,123,56.68,-1.48,-1.12,22.1,P0117
Jeep Compass,2020,1594.3,58.7,51.7,93,6.29,-1.1,-1.88,33.1,P0101
Mahindra Marazzo,2018,2100,42,82.1,88.9,40.48,1.42,1.86,18.1,P2463
Maruti Suzuki Dzire,2022,1745.3,42,88,90.1,31.9,-1.72,1.27,25.9,P2463
Maruti Suzuki Baleno,2017,2591.9,90.9,17.9,89.6,10.45,1.21,-1.02,13.9,P0101
Ford Endeavour,2017,1029.7,50.3,76.6,95.4,20.73,7.27,1.81,15.8,P0300
Volkswagen Taigun,2016,2088.4,79.9,17.6,125.4,37.82,0.98,-0.15,17.4,P0117
Tata Altroz,2023,2079.2,84.1,41.1,88.2,8.27,-0.83,-1.16,27,P0101
Tata Sierra,2021,3543.9,113.4,61,88.6,56.68,0.64,-0.75,22.2,P0300
Hyundai i20,2015,3402.5,127.4,77.6,95.1,60.16,7.54,0.33,21.3,P0300
Maruti Suzuki Dzire,2020,1143.3,42,86.4,90.7,20.52,0.48,-1.21,14.3,P2463
Maruti Suzuki Dzire,2021,3230.5,126.4,31.2,94.5,57.89,0.5,-1.39,19.5,None
Hyundai Alcazar,2015,2100,42,91.7,95.5,41.07,-1.04,-0.29,18.1,P2463
Tata Harrier,2015,2419.1,94.4,48.8,133.2,44.04,-1.54,1.15,29.9,P0117
Tata Tiago,2019,2685.2,103.5,44,91.7,48.38,20.96,16.68,25.6,P0171
Maruti Suzuki Dzire,2023,1313.1,57.4,23.9,93.6,23.65,0.55,1.92,16.2,None
MG Hector,2016,1454.1,42,82.3,93,26.4,1.73,1.05,17.8,P2463
Mercedes-Benz GLC,2019,2907.9,109,65.4,89.1,50.27,0.85,1.02,19.4,P0300
MG Hector,2018,1333.3,61.7,64,95.7,26.43,-0.59,1.84,22.4,P0300
Mahindra Scorpio-N,2024,2725.2,110.3,84.2,90.8,50.04,3.53,-0.82,13.8,P0300
Toyota Innova Hycross,2019,3077.9,118.4,31.5,96,55.23,-0.9,-1.71,21.3,None
Ford EcoSport,2017,887,25.9,39.5,92.7,15.54,26.51,20.64,23.7,P0171
Mahindra Scorpio-N,2019,1635.1,42,84.7,92.7,29.2,0.44,1.35,22.6,P2463
Maruti Suzuki Swift,2023,1153,39,48.8,133.4,20.94,0.14,0.18,28.2,P0117
Maruti Suzuki Celerio,2016,2640.7,93.7,31.8,115.8,47.93,-0.59,-1.43,21.5,P0117
Renault Kwid,2019,937.6,41.8,93.2,93.1,16.58,-1.54,0.7,20,P2463
Hyundai Tucson,2016,1533.4,51.6,17.9,122.1,27.23,1.31,0.09,14.9,P0117
Kia Sonet,2020,2100,42,88.4,88.6,48.6,-0.69,-0.93,19.7,P2463
Tata Safari,2024,3422.4,136.9,30.3,91.1,61.18,1.69,0.98,21.7,None
Maruti Suzuki Dzire,2019,2805,98.7,22.6,93.9,50.93,24.54,20.56,16.1,P0171
Mahindra XUV300,2017,3407.3,121.8,38.6,92.9,61.52,1.16,-1.53,23.5,None
Mahindra Scorpio-N,2023,2012.5,82.9,19.4,91.8,35.99,1.56,-0.16,14.3,None
Skoda Kushaq,2019,2998.4,117.3,37.6,112.2,53.68,0.91,-0.12,25.3,P0117
Tata Punch,2023,2100,42,93.6,89.1,62.1,0.35,1.86,13.1,P2463
Tata Tiago,2022,2496.5,81,75.6,95,41.34,0.38,1.02,29.1,P0300
Honda City,2023,867.5,30.3,47.7,89.3,15.56,24.53,15.2,27.2,P0171
Maruti Suzuki Dzire,2015,1310,42,89.2,88.7,23.63,-0.7,1.87,22.7,P2463
Hyundai Alcazar,2022,1184.9,43.6,41.3,132.8,21.31,-1.62,-1.34,26.1,P0117
Hyundai Verna,2020,3050.6,134.2,67.4,91.5,60.49,1.7,0.5,21.3,P0300
MG Astor,2016,2100,42,83.9,89.3,58.07,-0.11,1.54,26.2,P2463
Nissan Magnite,2020,1455.6,56.7,33.8,95.4,25.96,1.29,0.08,23.4,None
Tata Sierra,2021,1696.1,72.4,24.3,94.2,30.38,17.18,14.93,17.6,P0171
Toyota Fortuner,2016,1610,58.2,51.9,90.2,6.42,0.3,1.92,33.1,P0101
Hyundai Venue,2020,3476.9,132.6,27,88.2,62.78,19.83,20.63,18.3,P0171
Tata Sierra,2019,1031.5,34.3,90,93,18.08,0.09,1.6,21.7,P2463
Audi Q5,2017,2240.2,80.6,77.1,92,40.59,-7.71,1.12,23.7,P0300
Volkswagen Virtus,2021,2939.7,109.8,30.6,124,52.44,1.06,0.18,20.8,P0117
Volkswagen Virtus,2023,2100,42,92.2,89.5,61.56,-0.14,-1.21,19.7,P2463
Tata Sierra,2019,2896.1,112.2,50.8,93.3,52.52,-1.57,-1.75,29.9,None
MG Hector,2018,3436.8,135.5,16.9,93.1,62.14,25.59,16.2,13.9,P0171
Maruti Suzuki Alto,2020,1732.5,57,84.8,94.4,26.92,-2.13,0.7,28.6,P0300
Hyundai Creta,2022,1590.7,59.4,21.7,90.9,6.43,0.17,-1.4,18.3,P0101
Audi Q5,2022,1399.4,42,93.5,95.7,25.31,-1.49,1.53,29.4,P2463
Maruti Suzuki Swift,2018,1481.5,51.9,20.1,94.4,5.87,-1.28,1.91,15.8,P0101
Maruti Suzuki WagonR,2017,1282.6,56.1,45,120.4,23.55,-1.44,-0.47,25.9,P0117
Tata Nexon,2021,1103,49.5,32,91.1,19.77,16.19,13.48,20.2,P0171
Tata Punch,2016,3294.3,131.9,38.3,91.2,59.43,0.53,0.68,25.1,None
Mahindra Marazzo,2019,2551,91.3,15.6,92.7,46.02,18.18,12.44,14,P0171
Tata Punch,2020,2091.9,82.6,23.6,92.7,38.03,19.71,13.14,19.8,P0171
Kia Seltos,2015,1230.2,38.8,36.1,90.5,4.97,0.73,1.61,23.4,P0101
Honda Amaze,2020,2622.4,106,50.6,122.5,47.4,-0.79,-0.53,29.1,P0117
Skoda Kushaq,2018,1235.9,52.7,35.1,89.7,21.85,20.13,18.39,25.1,P0171
Maruti Suzuki Celerio,2016,2449.6,90.6,24.1,89.5,43.76,20.08,14.03,19.3,P0171
Audi Q5,2017,3091.1,125.2,45.5,93.3,12.45,1.09,-0.91,30.1,P0101
Kia Sonet,2022,796.9,37.3,25.4,126.3,14.12,-0.4,-0.92,18,P0117
Maruti Suzuki Vitara Brezza,2016,3117.1,115.6,60.2,92.1,54.08,-0.24,-1,20.4,P0300
Tata Harrier,2016,1250.3,53.9,62.8,93.1,28.56,1.41,0.57,22.9,P0300
Maruti Suzuki Alto,2023,3266.3,120.7,41.9,122.7,58.43,-0.75,1.21,25.8,P0117
Skoda Slavia,2023,3139.3,119,28.5,139.8,56.22,-0.98,0.39,20.5,P0117
Mahindra XUV300,2023,1812.7,65.4,17,91.9,33.06,1.58,-0.92,16.6,None
Maruti Suzuki Celerio,2019,1039.1,39.1,42.2,94.3,18.34,-1.61,-0.41,25.3,None
Maruti Suzuki Alto,2022,2100,42,91.9,93.3,58.36,-1.51,-1.91,29.6,P2463
Kia Seltos,2024,905.8,41.5,41.1,113.9,16.27,0.38,0.33,27,P0117
Toyota Fortuner,2015,769.4,34.3,52.8,91.6,3.17,1.85,-0.99,30.4,P0101
Toyota Fortuner,2023,2808.3,98.5,84.5,95.5,49,3.68,0.9,30.5,P0300
Tata Tiago,2024,2100,42,92.2,92.8,59.38,-0.68,1.42,33.4,P2463
Hyundai Tucson,2020,1235.7,43.1,52.1,117.7,22.63,0.63,-1.47,32.8,P0117
BMW X5,2021,2945.4,115.9,18,92.6,52.72,-0.23,-0.29,14.8,None
Tata Harrier,2023,3501.9,137.1,75.5,88.3,61.92,6.15,-1.78,30.4,P0300
Jeep Compass,2024,2100,42,86.9,88.9,51.39,-1.39,1.82,28.8,P2463
Volkswagen Virtus,2019,1113.5,49.7,31.4,132.7,20.02,0.78,1.07,23.1,P0117
Toyota Glanza,2018,3349.8,119.9,49.8,91.4,13.45,-0.56,0.64,28.5,P0101
Tata Tigor,2016,2942.7,121.2,79,90.2,53.92,-2.99,-1.67,31.1,P0300
Hyundai Verna,2015,2100,42,88.1,93.8,60.7,0.74,0.36,16.4,P2463
Maruti Suzuki Baleno,2020,2469.5,97.6,47.9,118.1,44.09,1.64,-1.49,31,P0117
Skoda Kushaq,2016,1248.2,51.8,42.3,94.7,5.05,0.19,1.3,27.9,P0101
Kia Sonet,2021,2123.1,85.8,78.8,88.9,38.18,-1.46,-0.12,28.7,P0300
Toyota Urban Cruiser,2016,1422.5,42,90.2,91.6,26.1,1.56,-0.58,14,P2463
Mahindra Scorpio-N,2019,2034.4,71.9,16,135.1,36.6,1.6,1.17,13.9,P0117
Maruti Suzuki Dzire,2020,2698.4,92.8,70.7,92.3,42.23,2.47,0.9,16.6,P0300
MG Hector,2016,1215.9,38.6,32,93.5,4.85,-1.19,0.64,20.6,P0101
Tata Punch,2023,3318.9,133.1,50.4,95.8,13.19,0.62,-1.08,29.6,P0101
Maruti Suzuki Vitara Brezza,2021,1851.4,69.9,43.3,115.8,33.45,0.13,-1.18,26.2,P0117
Volkswagen Taigun,2019,1705.8,59.2,70.5,93.8,26.02,-3.45,1.64,23.4,P0300
Hyundai Verna,2019,1792.1,56.1,66.2,88.7,25.14,-1.6,1.49,24.3,P0300
