iter	Passed	Remaining
0	63	25414
1	67	13505
2	72	9568
3	76	7570
4	79	6307
5	83	5483
6	87	4886
7	90	4441
8	94	4086
9	97	3807
10	101	3572
11	104	3375
12	107	3206
13	111	3069
14	114	2938
15	117	2825
16	121	2727
17	124	2642
18	128	2573
19	132	2518
20	135	2453
21	139	2395
22	143	2344
23	146	2300
24	150	2250
25	153	2205
26	156	2164
27	159	2123
28	163	2088
29	166	2056
30	169	2022
31	173	1995
32	176	1964
33	179	1936
34	182	1906
35	186	1882
36	189	1858
37	192	1836
38	195	1813
39	199	1794
40	202	1774
41	206	1763
42	210	1743
43	213	1727
44	216	1710
45	219	1692
46	223	1675
47	226	1660
48	229	1645
49	232	1630
50	235	1614
51	239	1600
52	242	1587
53	246	1581
54	250	1570
55	253	1556
56	257	1546
57	260	1535
58	263	1525
59	267	1516
60	270	1505
61	274	1494
62	277	1483
63	280	1471
64	283	1460
65	286	1449
66	289	1440
67	293	1433
68	297	1424
69	300	1414
70	303	1405
71	306	1396
72	309	1387
73	312	1378
74	316	1370
75	319	1362
76	323	1356
77	326	1347
78	329	1339
79	332	1331
80	336	1324
81	339	1316
82	342	1309
83	345	1301
84	349	1294
85	352	1287
86	355	1279
87	358	1272
88	362	1265
89	365	1260
90	369	1253
91	372	1246
92	375	1239
93	378	1232
94	381	1225
95	385	1219
96	386	1207
97	390	1201
98	393	1196
99	397	1193
100	400	1186
101	404	1181
102	408	1176
103	411	1172
104	415	1167
105	418	1161
106	422	1156
107	425	1151
108	429	1146
109	433	1142
110	436	1136
111	439	1130
112	443	1125
113	446	1121
114	450	1116
115	454	1111
116	457	1106
117	460	1101
118	463	1094
119	467	1089
120	470	1084
121	473	1079
122	477	1074
123	480	1068
124	483	1062
125	486	1058
126	489	1052
127	492	1047
128	496	1042
129	499	1037
130	502	1031
131	505	1026
132	509	1022
133	512	1017
134	516	1013
135	519	1008
136	523	1005
137	527	1001
138	530	996
139	534	992
140	538	988
141	541	983
142	544	979
143	548	974
144	551	970
145	555	966
146	558	961
147	562	957
148	565	953
149	569	948
150	572	943
151	575	939
152	579	935
153	606	968
154	615	972
155	619	968
156	622	963
157	626	959
158	630	954
159	633	950
160	636	945
161	640	940
162	643	936
163	647	931
164	651	927
165	654	922
166	657	917
167	660	912
168	664	907
169	667	902
170	670	897
171	673	892
172	677	888
173	680	884
174	684	879
175	687	875
176	690	870
177	694	866
178	698	862
179	702	858
180	705	853
181	708	848
182	712	844
183	715	839
184	718	835
185	722	831
186	725	826
187	728	821
188	731	816
189	735	812
190	738	807
191	741	803
192	744	798
193	747	793
194	750	789
195	754	785
196	757	781
197	761	776
198	763	771
199	767	767
200	771	763
201	775	760
202	778	755
203	782	751
204	785	747
205	789	743
206	793	739
207	796	735
208	799	731
209	804	727
210	807	723
211	811	719
212	815	715
213	818	711
214	822	707
215	826	704
216	830	700
217	833	696
218	837	692
219	841	688
220	844	683
221	847	679
222	851	676
223	855	672
224	859	668
225	863	665
226	867	660
227	871	657
228	874	653
229	878	649
230	882	645
231	885	641
232	890	638
233	894	634
234	899	631
235	905	629
236	911	626
237	915	623
238	920	620
239	925	616
240	929	612
241	932	609
242	937	605
243	940	601
244	944	597
245	947	593
246	951	589
247	955	585
248	959	581
249	962	577
250	966	573
251	969	569
252	973	565
253	977	561
254	980	557
255	984	553
256	988	549
257	991	545
258	996	542
259	1000	538
260	1004	534
261	1007	530
262	1011	526
263	1014	522
264	1018	518
265	1021	514
266	1025	510
267	1028	506
268	1031	502
269	1035	498
270	1038	494
271	1041	490
272	1045	486
273	1048	482
274	1052	478
275	1055	474
276	1058	470
277	1062	466
278	1065	462
279	1069	458
280	1072	454
281	1075	450
282	1079	446
283	1082	442
284	1085	438
285	1089	434
286	1092	430
287	1096	426
288	1099	422
289	1103	418
290	1106	414
291	1109	410
292	1113	406
293	1116	402
294	1119	398
295	1123	394
296	1126	390
297	1130	386
298	1134	383
299	1137	379
300	1141	375
301	1144	371
302	1148	367
303	1152	363
304	1155	359
305	1159	356
306	1163	352
307	1166	348
308	1170	344
309	1174	340
310	1177	337
311	1181	333
312	1184	329
313	1188	325
314	1192	321
315	1195	317
316	1199	314
317	1202	310
318	1206	306
319	1210	302
320	1213	298
321	1216	294
322	1220	290
323	1223	287
324	1226	283
325	1230	279
326	1233	275
327	1237	271
328	1241	267
329	1245	264
330	1248	260
331	1252	256
332	1255	252
333	1258	248
334	1262	244
335	1265	241
336	1269	237
337	1272	233
338	1276	229
339	1279	225
340	1283	222
341	1286	218
342	1290	214
343	1294	210
344	1298	206
345	1301	203
346	1305	199
347	1308	195
348	1312	191
349	1315	187
350	1318	184
351	1322	180
352	1326	176
353	1329	172
354	1333	169
355	1336	165
356	1340	161
357	1344	157
358	1347	153
359	1351	150
360	1354	146
361	1357	142
362	1361	138
363	1365	135
364	1368	131
365	1371	127
366	1375	123
367	1378	119
368	1382	116
369	1385	112
370	1389	108
371	1392	104
372	1396	101
373	1399	97
374	1402	93
375	1406	89
376	1409	86
377	1413	82
378	1416	78
379	1420	74
380	1423	70
381	1427	67
382	1430	63
383	1433	59
384	1437	55
385	1440	52
386	1444	48
387	1447	44
388	1451	41
389	1454	37
390	1458	33
391	1461	29
392	1464	26
393	1467	22
394	1471	18
395	1474	14
396	1478	11
397	1481	7
398	1485	3
399	1489	0
