CAR_MODEL,YEAR,ENGINE_RPM,VEHICLE_SPEED,ENGINE_LOAD,COOLANT_TEMP,MAF_GRAMS_SEC,SHORT_TERM_TRIM,LONG_TERM_TRIM,THROTTLE_POS,TROUBLE_CODES
nissan versa,2016.0,1282.0,36.0,75.3,85.0,10.5,2.0,3.1746707670043413,18.0,None
fiat palio,2012.0,2015.0,53.0,14.9,82.0,31.065620377978632,-97.0,3.1746707670043413,25.0,None
fiat palio,2012.0,1365.0,23.0,8.6,97.0,31.065620377978632,-98.0,3.1746707670043413,28.0,None
renault duster,2012.0,953.0,14.0,20.0,88.0,31.065620377978632,-5.0,3.1746707670043413,13.0,None
peugeot 208_allure,2015.0,1267.0,27.0,29.0,75.0,31.065620377978632,3.0,3.1746707670043413,17.0,None
renault duster,2012.0,838.0,0.0,34.9,87.0,31.065620377978632,-6.0,3.1746707670043413,13.0,None
toyota corolla,2009.0,1932.0,75.0,72.9,86.0,18.18,1.0,3.1746707670043413,25.0,None
toyota corolla,2009.0,1147.0,8.0,28.6,95.0,2.85,4.0,3.1746707670043413,19.0,None
renault duster,2012.0,841.0,33.0,40.8,86.0,31.065620377978632,-4.0,3.1746707670043413,13.0,None
toyota corolla,2009.0,2475.0,101.0,97.6,86.0,35.18,3.0,3.1746707670043413,40.0,None
toyota corolla,2009.0,978.0,9.0,47.5,88.0,5.21,-3.0,3.1746707670043413,20.0,None
toyota corolla,2009.0,2130.0,82.0,58.4,85.0,14.82,2.0,3.1746707670043413,24.0,None
citroen c3,2013.0,747.0,13.0,32.2,94.93210035842294,31.065620377978632,3.3186905843172876,3.1746707670043413,23.658314220183485,None
toyota corolla,2009.0,720.0,0.0,34.9,88.0,2.09,1.0,3.1746707670043413,18.0,None
volkswagen polo,2006.0,1751.0,45.0,41.0,78.0,31.065620377978632,3.3186905843172876,3.1746707670043413,17.0,None
toyota corolla,2009.0,1128.0,28.0,50.6,89.0,6.37,3.0,3.1746707670043413,20.0,None
toyota corolla,2009.0,1738.0,45.0,50.6,85.0,9.67,4.0,3.1746707670043413,22.0,None
chevrolet agile,2011.0,1492.0,43.0,16.1,80.0,3.44,3.3186905843172876,3.1746707670043413,22.0,None
volkswagen polo,2006.0,866.0,0.0,5.1,41.0,31.065620377978632,3.3186905843172876,3.1746707670043413,3.0,None
toyota corolla,2009.0,2378.0,39.0,85.5,96.0,26.37,-10.0,3.1746707670043413,29.0,None
peugeot 208_allure,2015.0,1713.0,61.0,49.4,76.0,31.065620377978632,-1.0,3.1746707670043413,13.0,None
chevrolet agile,2011.0,1152.0,14.0,38.8,81.0,9.36,3.3186905843172876,3.1746707670043413,31.0,None
peugeot 208_allure,2015.0,782.0,0.0,33.7,81.0,31.065620377978632,2.0,3.1746707670043413,12.0,None
renault duster,2012.0,863.0,44.0,36.9,88.0,31.065620377978632,0.0,3.1746707670043413,12.0,None
fiat palio,2012.0,1637.0,22.0,8.6,93.0,31.065620377978632,63.0,3.1746707670043413,15.0,None
