2026-02-27 12:50:49 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data\logs\diagnostic_platform_20260227.log
2026-02-27 12:50:49 | src.utils.logger_setup | INFO     | <module>:564 | Enhanced application started
2026-02-27 12:51:35 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data\logs\diagnostic_platform_20260227.log
2026-02-27 12:51:35 | src.utils.logger_setup | INFO     | <module>:62 | Enhanced application started
2026-02-27 12:51:44 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data\logs\diagnostic_platform_20260227.log
2026-02-27 12:51:44 | src.utils.logger_setup | INFO     | <module>:62 | Enhanced application started
2026-02-27 12:56:38 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data\logs\diagnostic_platform_20260227.log
2026-02-27 12:56:38 | src.utils.logger_setup | INFO     | <module>:62 | Enhanced application started
2026-02-27 12:56:46 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data\logs\diagnostic_platform_20260227.log
2026-02-27 12:56:46 | src.utils.logger_setup | INFO     | <module>:62 | Enhanced application started
2026-02-27 12:56:54 | src.utils.logger_setup | INFO     | extract_and_validate_vision_data:177 | Vision data validated: {'rpm': 5000, 'speed': 119, 'load': 0, 'temp': 100, 'dtc': 'P0100'}
2026-02-27 12:56:54 | src.utils.logger_setup | INFO     | log_execution_time:108 | ⏱️ Vision_Extraction took 6857.70ms
2026-02-27 12:56:54 | src.utils.logger_setup | INFO     | <module>:369 | Vision OK: {'rpm': 5000, 'speed': 119, 'load': 0, 'temp': 100, 'dtc': 'P0100'}
2026-02-27 12:56:54 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data\logs\diagnostic_platform_20260227.log
2026-02-27 12:56:54 | src.utils.logger_setup | INFO     | <module>:62 | Enhanced application started
2026-02-27 12:57:01 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data\logs\diagnostic_platform_20260227.log
2026-02-27 12:57:01 | src.utils.logger_setup | INFO     | <module>:62 | Enhanced application started
2026-02-27 12:57:11 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data\logs\diagnostic_platform_20260227.log
2026-02-27 12:57:11 | src.utils.logger_setup | INFO     | <module>:62 | Enhanced application started
2026-02-27 12:57:21 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data\logs\diagnostic_platform_20260227.log
2026-02-27 12:57:21 | src.utils.logger_setup | INFO     | <module>:62 | Enhanced application started
2026-02-27 12:57:25 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data\logs\diagnostic_platform_20260227.log
2026-02-27 12:57:25 | src.utils.logger_setup | INFO     | <module>:62 | Enhanced application started
2026-02-27 12:58:14 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data\logs\diagnostic_platform_20260227.log
2026-02-27 12:58:14 | src.utils.logger_setup | INFO     | <module>:62 | Enhanced application started
2026-02-27 12:58:22 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data\logs\diagnostic_platform_20260227.log
