TIMESTAMP,MARK,MODEL,CAR_YEAR,ENGINE_POWER,AUTOMATIC,VEHICLE_ID,BAROMETRIC_PRESSURE(KPA),ENGINE_COOLANT_TEMP,FUEL_LEVEL,ENGINE_LOAD,AMBIENT_AIR_TEMP,ENGINE_RPM,INTAKE_MANIFOLD_PRESSURE,MAF,LONG TERM FUEL TRIM BANK 2,FUEL_TYPE,AIR_INTAKE_TEMP,FUEL_PRESSURE,SPEED,SHORT TERM FUEL TRIM BANK 2,SHORT TERM FUEL TRIM BANK 1,ENGINE_RUNTIME,THROTTLE_POS,DTC_NUMBER,TROUBLE_CODES,TIMING_ADVANCE,EQUIV_RATIO,MIN,HOURS,DAYS_OF_WEEK,MONTHS,YEAR
1502902504267,chevrolet,agile,2011,"1,4",n,car1,100,80,"48,60%","33,30%",,1009,49,"4,49",,Biodiesel_Ethanol,59,,0,,,00:03:28,25%,MIL is OFF0 codes,,"56,9%","1,0%",13,16,2,8,2017
1502902512283,chevrolet,agile,2011,"1,4",n,car1,100,80,"48,60%","32,50%",,1003,52,"4,51",,Biodiesel_Ethanol,59,,0,,,00:03:35,25%,MIL is OFF0 codes,,"56,5%","1,0%",13,16,2,8,2017
1502902520291,chevrolet,agile,2011,"1,4",n,car1,100,80,"48,60%","32,90%",,995,51,"4,48",,Biodiesel_Ethanol,59,,0,,,00:03:43,25%,MIL is OFF0 codes,,"57,3%","1,0%",13,16,2,8,2017
1502902528300,chevrolet,agile,2011,"1,4",n,car1,100,80,"48,60%","32,50%",,1004,51,"4,51",,Biodiesel_Ethanol,60,,0,,,00:03:51,25%,MIL is OFF0 codes,,"56,5%","1,0%",13,16,2,8,2017
1502902536320,chevrolet,agile,2011,"1,4",n,car1,100,80,"48,60%","32,90%",,1005,49,"4,49",,Biodiesel_Ethanol,60,,0,,,00:03:59,25%,MIL is OFF0 codes,,"56,9%","1,0%",13,16,2,8,2017
1502902544348,chevrolet,agile,2011,"1,4",n,car1,100,81,"48,60%","32,90%",,1019,50,"4,56",,Biodiesel_Ethanol,60,,0,,,00:04:07,25%,MIL is OFF0 codes,,"56,5%","1,0%",13,16,2,8,2017
1502902552372,chevrolet,agile,2011,"1,4",n,car1,100,81,"48,60%","33,30%",,1002,49,"4,57",,Biodiesel_Ethanol,61,,0,,,00:04:15,25%,MIL is OFF0 codes,,"56,5%","1,0%",13,16,2,8,2017
1502902560377,chevrolet,agile,2011,"1,4",n,car1,100,81,"48,60%","33,30%",,1001,50,"4,45",,Biodiesel_Ethanol,61,,0,,,00:04:23,25%,MIL is OFF0 codes,,"57,3%","1,0%",13,16,2,8,2017
1502902568389,chevrolet,agile,2011,"1,4",n,car1,100,81,"48,60%","33,30%",,1004,52,"4,52",,Biodiesel_Ethanol,61,,0,,,00:04:31,25%,MIL is OFF0 codes,,"56,9%","1,0%",13,16,2,8,2017
1502902576403,chevrolet,agile,2011,"1,4",n,car1,100,81,"48,60%","32,90%",,1010,52,"4,6",,Biodiesel_Ethanol,62,,0,,,00:04:39,25%,MIL is OFF0 codes,,"58,4%","1,0%",13,16,2,8,2017
1502902584418,chevrolet,agile,2011,"1,4",n,car1,100,81,"48,60%","34,50%",,1008,49,"4,71",,Biodiesel_Ethanol,62,,0,,,00:04:47,26%,MIL is OFF0 codes,,"56,9%","1,0%",13,16,2,8,2017
1502902592446,chevrolet,agile,2011,"1,4",n,car1,100,81,"48,60%","34,50%",,1005,50,"4,67",,Biodiesel_Ethanol,62,,0,,,00:04:55,26%,MIL is OFF0 codes,,"56,5%","1,0%",13,16,2,8,2017
1502902600481,chevrolet,agile,2011,"1,4",n,car1,100,81,"48,60%","34,10%",,1004,51,"4,74",,Biodiesel_Ethanol,63,,0,,,00:05:03,26%,MIL is OFF0 codes,,"55,7%","1,0%",13,16,2,8,2017
1502902608491,chevrolet,agile,2011,"1,4",n,car1,100,81,"48,60%","34,90%",,998,53,"4,72",,Biodiesel_Ethanol,63,,0,,,00:05:11,26%,MIL is OFF0 codes,,"56,1%","1,0%",13,16,2,8,2017
1502902616517,chevrolet,agile,2011,"1,4",n,car1,100,81,"48,60%","34,90%",,999,92,"4,72",,Biodiesel_Ethanol,63,,0,,,00:05:19,26%,MIL is OFF0 codes,,"55,7%","1,0%",13,16,2,8,2017
1502902624545,chevrolet,agile,2011,"1,4",n,car1,100,81,"48,60%","37,30%",,1589,47,"7,86",,Biodiesel_Ethanol,64,,0,,,00:05:27,22%,MIL is OFF0 codes,,"60,0%","1,0%",13,16,2,8,2017
1502902632569,chevrolet,agile,2011,"1,4",n,car1,100,81,"48,60%","26,70%",,2955,33,"11,43",,Biodiesel_Ethanol,65,,0,,,00:05:35,32%,MIL is OFF0 codes,,"77,6%","1,0%",13,16,2,8,2017
1502902640586,chevrolet,agile,2011,"1,4",n,car1,100,82,"48,60%","36,90%",,1050,50,"5,04",,Biodiesel_Ethanol,65,,0,,,00:05:43,26%,MIL is OFF0 codes,,"53,7%","1,0%",13,16,2,8,2017
1502913547740,chevrolet,agile,2011,"1,4",n,car1,100,77,"51,00%","29,40%",,1005,46,"4,16",,Biodiesel_Ethanol,42,,0,,,00:02:40,24%,MIL is OFF0 codes,,"56,9%","1,0%",0,19,2,8,2017
1502913555751,chevrolet,agile,2011,"1,4",n,car1,100,79,"51,00%","36,50%",,1004,51,"5,49",,Biodiesel_Ethanol,43,,8,,,00:02:47,27%,MIL is OFF0 codes,,"54,9%","1,0%",0,19,2,8,2017
1502913563760,chevrolet,agile,2011,"1,4",n,car1,100,79,"49,80%","31,00%",,1069,58,"4,63",,Biodiesel_Ethanol,43,,4,,,00:02:55,25%,MIL is OFF0 codes,,"59,6%","1,0%",0,19,2,8,2017
1502913571764,chevrolet,agile,2011,"1,4",n,car1,100,79,"50,60%","32,20%",,1034,47,"4,61",,Biodiesel_Ethanol,44,,0,,,00:03:03,25%,MIL is OFF0 codes,,"53,3%","1,0%",0,19,2,8,2017
1502913579766,chevrolet,agile,2011,"1,4",n,car1,100,79,"49,80%","30,20%",,1013,47,"4,28",,Biodiesel_Ethanol,44,,0,,,00:03:11,24%,MIL is OFF0 codes,,"58,4%","1,0%",0,19,2,8,2017
1502913587785,chevrolet,agile,2011,"1,4",n,car1,100,79,"49,80%","29,00%",,1010,47,"4,07",,Biodiesel_Ethanol,45,,0,,,00:03:19,24%,MIL is OFF0 codes,,"56,5%","1,0%",0,19,2,8,2017
1502913595804,chevrolet,agile,2011,"1,4",n,car1,100,79,"49,40%","29,00%",,1004,46,"4,07",,Biodiesel_Ethanol,45,,0,,,00:03:27,24%,MIL is OFF0 codes,,"56,1%","1,0%",0,19,2,8,2017
1502913603818,chevrolet,agile,2011,"1,4",n,car1,100,79,"49,40%","29,00%",,1005,47,"4,11",,Biodiesel_Ethanol,46,,0,,,00:03:35,24%,MIL is OFF0 codes,,"58,4%","1,0%",0,19,2,8,2017
1502913611823,chevrolet,agile,2011,"1,4",n,car1,100,79,"49,00%","29,00%",,1015,45,"4,09",,Biodiesel_Ethanol,47,,0,,,00:03:43,24%,MIL is OFF0 codes,,"58,8%","1,0%",0,19,2,8,2017
1502913619832,chevrolet,agile,2011,"1,4",n,car1,100,79,"49,00%","29,00%",,1013,47,"4,1",,Biodiesel_Ethanol,47,,0,,,00:03:51,24%,MIL is OFF0 codes,,"57,3%","1,0%",0,19,2,8,2017
1502913627836,chevrolet,agile,2011,"1,4",n,car1,100,79,"49,00%","29,40%",,1000,46,"4,2",,Biodiesel_Ethanol,48,,0,,,00:03:59,24%,MIL is OFF0 codes,,"58,0%","1,0%",0,19,2,8,2017
1502913635855,chevrolet,agile,2011,"1,4",n,car1,100,79,"49,00%","29,40%",,1012,46,"4,14",,Biodiesel_Ethanol,48,,0,,,00:04:07,24%,MIL is OFF0 codes,,"58,8%","1,0%",0,19,2,8,2017
1502913643863,chevrolet,agile,2011,"1,4",n,car1,100,79,"49,00%","29,00%",,1005,46,"4,13",,Biodiesel_Ethanol,49,,0,,,00:04:15,24%,MIL is OFF0 codes,,"58,8%","1,0%",0,19,2,8,2017
1502913651869,chevrolet,agile,2011,"1,4",n,car1,100,79,"49,00%","30,20%",,1002,45,"4,17",,Biodiesel_Ethanol,49,,0,,,00:04:23,24%,MIL is OFF0 codes,,"57,6%","1,0%",0,19,2,8,2017
1502913659892,chevrolet,agile,2011,"1,4",n,car1,100,79,"49,00%","29,80%",,999,46,"4,11",,Biodiesel_Ethanol,50,,0,,,00:04:31,24%,MIL is OFF0 codes,,"57,6%","1,0%",0,19,2,8,2017
1502913667914,chevrolet,agile,2011,"1,4",n,car1,100,79,"49,00%","29,80%",,1000,45,"4,14",,Biodiesel_Ethanol,50,,0,,,00:04:39,24%,MIL is OFF0 codes,,"57,6%","1,0%",0,19,2,8,2017
