CAR_MODEL,YEAR,ENGINE_RPM,VEHICLE_SPEED,ENGINE_LOAD,COOLANT_TEMP,MAF_GRAMS_SEC,SHORT_TERM_TRIM,LONG_TERM_TRIM,THROTTLE_POS,TROUBLE_CODES
Kia Seltos,2024,2673.1,106.9,42.1,95.7,50.93,29.22,24.24,30.9,P0171
Maruti Suzuki Ertiga,2023,2843.1,104.4,56.4,88.5,53.4,-3.71,2.17,39.2,None
Maruti Suzuki Celerio,2017,3282.4,125.8,37.3,93.0,62.41,-1.76,1.89,21.2,None
Hyundai i20,2018,2781.1,106.2,71.6,89.8,53.85,0.51,1.91,17.4,P0300
Mahindra XUV700,2019,2315.4,92.7,15.6,85.2,44.31,-3.93,-2.44,12.0,None
MG Hector,2023,1823.2,66.6,58.2,97.3,31.71,0.57,-0.61,21.8,P0300
Hyundai Verna,2019,1469.8,40.0,96.7,97.5,27.89,-0.49,1.1,27.9,P2463
Tata Nexon,2020,3214.5,130.2,40.1,90.7,60.86,1.31,0.79,27.6,None
Toyota Innova Hycross,2021,2258.3,87.0,14.2,92.6,42.39,-3.01,0.57,10.8,None
Mahindra Thar,2022,2988.1,112.5,40.3,88.7,56.35,-0.44,1.35,22.9,None
Maruti Suzuki Ertiga,2022,2737.8,123.4,67.9,88.0,58.59,1.3,-0.94,28.0,P0300
Honda City,2023,2630.0,96.9,13.3,93.2,49.91,3.18,-2.48,12.3,None
Volkswagen Virtus,2022,1453.1,53.6,12.1,91.3,28.18,2.13,2.04,19.3,None
Nissan Magnite,2020,1894.0,74.9,54.0,90.9,36.06,0.9,0.99,34.6,None
Mahindra Bolero,2022,2866.4,119.6,84.3,88.8,57.33,1.29,2.18,26.8,P0300
Hyundai i20,2022,2734.7,113.3,38.8,87.2,52.35,21.5,19.26,34.0,P0171
Mahindra XUV300,2018,2060.1,85.4,15.0,94.8,5.99,1.02,-2.5,16.2,P0101
Maruti Suzuki Dzire,2016,1169.7,43.4,49.1,87.9,22.13,21.75,18.46,29.9,P0171
Maruti Suzuki Ertiga,2020,2000.0,40.0,84.5,91.4,52.8,1.77,0.47,30.1,P2463
Volkswagen Virtus,2017,2794.1,101.2,47.4,91.0,52.65,0.0,-2.55,28.0,None
Maruti Suzuki WagonR,2022,722.8,33.8,13.1,97.0,13.68,-2.93,1.82,18.5,None
Maruti Suzuki Vitara Brezza,2015,3439.9,134.5,44.4,121.8,65.19,2.29,2.45,29.4,P0117
Hyundai Tucson,2015,1558.1,57.6,46.2,93.0,30.07,0.79,-0.5,34.0,None
Tata Sierra,2022,1964.8,79.4,22.7,85.6,36.97,0.99,-2.37,22.4,None
Maruti Suzuki Alto,2019,1445.8,48.1,20.5,86.2,26.85,2.65,-2.23,21.3,None
Hyundai Tucson,2024,2758.7,111.4,13.3,94.9,52.02,3.72,0.45,10.3,None
Nissan Magnite,2015,2000.0,40.0,95.0,93.2,62.74,-3.47,0.97,12.7,P2463
Toyota Innova Hycross,2019,2000.0,40.0,98.9,92.0,57.1,-1.31,-1.14,26.8,P2463
Tata Harrier,2023,1534.6,63.3,40.9,88.4,29.12,1.48,1.75,34.2,None
Honda Amaze,2023,2843.9,104.8,22.0,90.3,53.36,27.37,21.96,18.7,P0171
Tata Harrier,2015,1621.7,69.5,35.5,85.5,30.72,3.42,-2.64,29.6,None
Hyundai Verna,2015,1664.5,71.1,42.4,118.0,31.87,2.0,1.72,28.5,P0117
Renault Kwid,2023,718.2,21.2,24.7,126.8,13.03,1.44,-0.5,17.1,P0117
MG Hector,2015,2000.0,40.0,97.0,94.3,66.47,-0.39,0.47,19.8,P2463
Mahindra Marazzo,2016,1126.5,40.2,20.7,91.2,3.31,0.07,1.82,15.5,P0101
Audi Q5,2024,3074.9,116.2,58.5,96.0,59.17,0.41,-0.72,39.1,None
Tata Safari,2021,859.3,41.4,50.8,90.2,15.84,-3.67,-1.57,36.2,None
