"DTC_Code,Customer_Complaint,Sensor_Snapshot,Ground_Truth_Cause,Repair_Complexity,Estimated_Hours"
"P0300,Engine shakes violently at idle and loses power during acceleration.,""RPM: 677 (fluctuating), Fuel Trim: 10%, Misfire Count: 20"",Faulty Ignition Coil or Spark Plugs,Intermediate,0.7"
"P0171,Whistling sound from engine bay; poor fuel economy.,""MAF Flow: 1.73 g/s, Long Term Fuel Trim: +25%, O2 Voltage: 0.1V"",Vacuum Leak or Dirty MAF Sensor,Beginner,1.5"
"P0171,Whistling sound from engine bay; poor fuel economy.,""MAF Flow: 2.35 g/s, Long Term Fuel Trim: +25%, O2 Voltage: 0.1V"",Vacuum Leak or Dirty MAF Sensor,Advanced,0.8"
"P0117,""Temperature gauge is maxed out, but the engine doesn't feel hot."",""Coolant Temp: 125C, Voltage: 0.2V, Fan Status: ON"",Coolant Temperature Sensor Circuit Low,Beginner,3.1"
"P0300,Engine shakes violently at idle and loses power during acceleration.,""RPM: 676 (fluctuating), Fuel Trim: 11%, Misfire Count: 13"",Faulty Ignition Coil or Spark Plugs,Beginner,3.9"
"P0117,""Temperature gauge is maxed out, but the engine doesn't feel hot."",""Coolant Temp: 125C, Voltage: 0.2V, Fan Status: ON"",Coolant Temperature Sensor Circuit Low,Beginner,2.9"
"P0171,Whistling sound from engine bay; poor fuel economy.,""MAF Flow: 1.64 g/s, Long Term Fuel Trim: +25%, O2 Voltage: 0.1V"",Vacuum Leak or Dirty MAF Sensor,Beginner,1.1"
"P0300,Engine shakes violently at idle and loses power during acceleration.,""RPM: 657 (fluctuating), Fuel Trim: 15%, Misfire Count: 48"",Faulty Ignition Coil or Spark Plugs,Beginner,2.9"
"P0300,Engine shakes violently at idle and loses power during acceleration.,""RPM: 679 (fluctuating), Fuel Trim: 18%, Misfire Count: 24"",Faulty Ignition Coil or Spark Plugs,Advanced,1.1"
"P0171,Whistling sound from engine bay; poor fuel economy.,""MAF Flow: 2.31 g/s, Long Term Fuel Trim: +25%, O2 Voltage: 0.1V"",Vacuum Leak or Dirty MAF Sensor,Advanced,0.9"
"P0117,""Temperature gauge is maxed out, but the engine doesn't feel hot."",""Coolant Temp: 125C, Voltage: 0.2V, Fan Status: ON"",Coolant Temperature Sensor Circuit Low,Advanced,3.2"
"P0420,""Check engine light is on, but the car drives normally. Slight sulfur smell."",""Downstream O2 Sensor: 0.74V (mimicking upstream), Cat Temp: 450C"",Catalytic Converter Efficiency Below Threshold,Intermediate,2.0"
"P0117,""Temperature gauge is maxed out, but the engine doesn't feel hot."",""Coolant Temp: 125C, Voltage: 0.2V, Fan Status: ON"",Coolant Temperature Sensor Circuit Low,Advanced,1.2"
"P0420,""Check engine light is on, but the car drives normally. Slight sulfur smell."",""Downstream O2 Sensor: 0.68V (mimicking upstream), Cat Temp: 450C"",Catalytic Converter Efficiency Below Threshold,Advanced,1.4"
"P0300,Engine shakes violently at idle and loses power during acceleration.,""RPM: 602 (fluctuating), Fuel Trim: 12%, Misfire Count: 48"",Faulty Ignition Coil or Spark Plugs,Advanced,1.8"
"P0420,""Check engine light is on, but the car drives normally. Slight sulfur smell."",""Downstream O2 Sensor: 0.69V (mimicking upstream), Cat Temp: 450C"",Catalytic Converter Efficiency Below Threshold,Beginner,1.4"
"P0300,Engine shakes violently at idle and loses power during acceleration.,""RPM: 784 (fluctuating), Fuel Trim: 10%, Misfire Count: 30"",Faulty Ignition Coil or Spark Plugs,Intermediate,1.7"
"P0420,""Check engine light is on, but the car drives normally. Slight sulfur smell."",""Downstream O2 Sensor: 0.63V (mimicking upstream), Cat Temp: 450C"",Catalytic Converter Efficiency Below Threshold,Beginner,2.6"
"P0300,Engine shakes violently at idle and loses power during acceleration.,""RPM: 840 (fluctuating), Fuel Trim: 12%, Misfire Count: 46"",Faulty Ignition Coil or Spark Plugs,Beginner,1.3"
"P0117,""Temperature gauge is maxed out, but the engine doesn't feel hot."",""Coolant Temp: 125C, Voltage: 0.2V, Fan Status: ON"",Coolant Temperature Sensor Circuit Low,Advanced,2.6"
"P0117,""Temperature gauge is maxed out, but the engine doesn't feel hot."",""Coolant Temp: 125C, Voltage: 0.2V, Fan Status: ON"",Coolant Temperature Sensor Circuit Low,Advanced,3.7"
"P0420,""Check engine light is on, but the car drives normally. Slight sulfur smell."",""Downstream O2 Sensor: 0.79V (mimicking upstream), Cat Temp: 450C"",Catalytic Converter Efficiency Below Threshold,Intermediate,1.7"
