ENGINE_RPM,VEHICLE_SPEED,ENGINE_LOAD,COOLANT_TEMP,MAF_GRAMS_SEC,SHORT_TERM_TRIM,LONG_TERM_TRIM,THROTTLE_POS,TARGET_DTC
2604.2,87.9,40.5,93.1,46.66,-1.8,-0.45,23.5,None
2020.6,72.8,22.3,118.1,36.73,0.86,-0.12,15.4,P0117
2067.4,68.1,45.8,88.0,37.35,-1.63,-0.44,28.7,None
1737.2,64.6,54.8,89.5,31.41,-0.22,-0.83,30.7,None
2065.3,70.5,33.4,95.4,37.15,0.26,-0.46,17.7,None
1899.9,63.4,15.2,93.8,34.36,1.31,-0.3,9.9,None
1709.6,64.6,51.5,88.9,30.64,-1.27,0.83,30.6,None
2056.3,75.7,21.9,126.8,37.06,-1.86,-0.61,14.1,P0117
3147.4,108.2,26.1,94.4,12.67,-0.15,0.9,15.0,P0101
2738.1,93.2,30.8,91.2,49.68,1.2,0.11,20.9,None
2017.1,66.1,29.8,91.4,36.68,-1.43,-0.62,17.3,None
1985.0,65.3,40.1,93.5,35.67,0.47,-0.13,21.1,None
1216.6,38.2,44.6,92.3,21.95,0.78,-0.6,27.4,None
1665.5,54.1,28.6,91.2,30.26,0.76,0.62,17.0,None
2817.6,98.7,48.6,95.6,50.83,-0.29,0.92,24.6,None
1226.3,40.5,18.6,113.5,21.75,0.47,0.46,12.5,P0117
1779.2,57.6,53.3,91.4,32.39,-1.46,0.85,30.0,None
2100.0,45.0,94.0,95.3,49.94,-1.55,0.93,31.1,P2463
1482.8,56.3,27.5,95.1,27.02,-0.9,0.52,14.8,None
1947.1,69.6,43.6,92.6,34.75,-0.62,-0.72,27.8,None
1344.7,43.5,53.8,88.2,24.36,-0.71,-0.66,27.4,None
809.2,30.0,31.3,90.9,14.13,-1.05,-0.3,21.1,None
3197.0,115.5,29.9,94.5,12.84,-0.52,-0.77,16.6,P0101
2685.6,97.4,51.6,95.3,48.76,19.12,17.01,29.9,P0171
2664.1,96.8,43.6,95.4,48.41,-1.08,0.39,24.3,None
1600.0,55.8,26.6,88.2,28.51,-1.93,-0.13,14.3,None
1989.1,69.7,15.9,93.0,35.58,-0.76,0.18,10.0,None
2545.2,90.6,38.4,89.0,45.5,-1.89,0.3,20.1,None
1583.8,51.0,18.3,90.2,28.1,-1.38,-0.3,12.3,None
1505.7,49.9,49.8,89.8,27.46,23.29,16.36,30.3,P0171
2419.0,89.5,47.1,90.0,43.86,0.2,0.95,25.3,None
2789.7,96.3,45.2,91.2,50.11,-1.64,-0.18,27.9,None
2376.3,83.2,38.5,95.9,42.56,0.28,0.51,24.1,None
2730.1,93.6,17.7,90.0,49.39,-0.05,-0.62,14.0,None
2198.1,72.1,47.1,95.3,39.11,-0.67,-0.7,24.7,None
2908.6,99.5,45.3,90.4,52.68,-1.82,-0.74,27.5,None
2100.0,45.0,80.9,88.8,52.13,-1.45,0.3,17.9,P2463
2019.2,69.2,22.9,89.9,36.13,-0.97,-0.23,17.2,None
3006.8,102.3,77.6,95.7,53.9,1.58,-0.22,19.3,P0300
3167.5,112.2,37.4,93.7,57.48,1.33,-0.4,22.7,None
1189.2,38.3,25.9,90.7,21.09,1.86,-0.64,19.7,None
2250.1,82.1,79.3,88.1,42.21,-1.6,0.73,25.7,P0300
2464.0,82.7,20.5,94.2,44.77,-1.12,-0.68,14.3,None
1867.6,69.2,53.9,89.3,7.52,-1.82,0.01,30.3,P0101
1589.1,59.6,45.9,91.2,29.04,0.38,0.02,24.8,None
2233.7,82.6,17.0,95.3,40.08,0.77,-0.15,12.8,None
1030.1,39.9,52.4,91.8,4.2,-0.14,-0.46,28.8,P0101
1136.1,38.7,28.1,94.4,20.86,0.07,-0.24,15.0,None
2436.9,90.0,33.2,89.7,43.56,-1.01,0.51,19.1,None
1649.9,53.9,24.9,90.5,29.2,-1.06,0.46,17.7,None
1019.6,38.5,25.3,94.6,18.29,1.78,0.04,16.1,None
2513.6,84.2,31.4,95.2,45.24,17.04,18.01,16.9,P0171
2760.7,92.7,48.1,94.9,11.03,0.56,0.58,28.3,P0101
2451.6,89.4,15.4,91.0,44.56,-0.28,0.4,13.3,None
1282.0,49.6,42.2,95.9,23.49,-1.66,0.4,25.9,None
759.2,26.5,43.4,89.5,13.79,-1.7,-0.97,24.6,None
2958.4,105.9,18.6,94.9,53.2,-1.52,-0.75,12.9,None
945.9,33.3,36.6,89.7,16.92,1.62,-0.81,20.7,None
803.1,30.8,34.2,95.6,14.31,1.84,-0.83,18.0,None
2194.2,78.0,17.9,93.5,39.81,-1.77,-0.12,14.8,None
890.8,26.6,36.6,90.6,16.27,-1.72,-0.27,21.1,None
816.9,29.6,24.0,88.5,3.33,1.37,0.02,15.9,P0101
2910.0,98.3,30.6,88.7,52.49,19.3,16.94,17.8,P0171
849.1,28.9,26.4,95.7,15.59,-0.37,-0.42,18.9,None
893.2,31.7,30.4,91.2,15.97,24.79,19.34,17.0,P0171
2585.2,93.0,49.7,94.2,46.71,0.74,0.9,24.8,None
1775.5,66.0,24.4,95.0,7.22,0.86,-0.16,15.3,P0101
1590.0,59.9,19.2,90.7,29.11,-0.65,-0.31,14.5,None
2043.3,72.7,30.1,90.0,37.18,1.85,0.69,18.8,None
1713.9,57.4,35.6,88.0,30.7,1.24,-0.87,19.4,None
2243.6,78.0,38.5,93.9,40.78,-1.36,0.52,25.2,None
1261.7,44.7,16.9,90.9,22.55,-1.99,-0.0,10.0,None
2865.9,98.6,44.8,95.8,51.3,0.81,0.35,23.7,None
973.6,37.1,38.8,91.3,17.17,-0.18,0.5,20.3,None
2384.8,84.9,42.7,94.3,43.06,0.92,-0.29,22.6,None
2859.3,94.0,94.3,91.9,47.76,-1.87,-0.25,27.2,P0300
3166.8,114.8,51.7,92.2,57.35,16.75,12.44,29.8,P0171
2245.3,79.3,17.6,90.5,40.57,1.71,0.3,10.8,None
1124.3,41.1,16.0,94.4,20.71,-0.37,0.88,14.8,None
1916.9,63.9,41.7,92.6,34.72,1.51,0.12,24.1,None
2100.0,45.0,80.8,94.3,54.03,0.59,0.65,19.1,P2463
2625.6,94.8,50.1,89.5,46.97,-1.73,0.27,28.1,None
2100.0,45.0,81.3,94.8,51.07,-1.11,0.33,25.2,P2463
1613.0,59.1,20.9,94.7,29.03,-1.97,-0.04,12.0,None
1000.1,37.9,47.7,90.9,17.62,-1.67,0.99,26.1,None
777.8,28.2,47.5,92.0,14.21,-1.38,-0.22,24.7,None
1914.7,63.3,41.3,95.3,34.73,1.25,0.78,23.2,None
1635.2,61.5,43.2,90.0,29.71,1.95,-0.52,25.3,None
2565.6,93.4,29.9,91.6,46.62,-0.11,0.97,19.1,None
1680.9,62.2,21.8,94.5,29.95,17.65,12.0,13.2,P0171
1259.5,42.6,32.3,95.1,22.25,1.42,-0.55,17.8,None
2882.4,103.1,24.3,95.1,51.39,-0.77,0.08,18.2,None
1685.7,45.0,87.8,92.1,30.24,-1.88,-0.39,15.7,P2463
3177.8,113.3,40.0,88.6,57.34,0.71,0.34,26.0,None
